"Component","Chromatography","Ionization mode","Mass, m/z","Retention time, s","Name","CE 10","CE 20","CE 40","Identity"
"Egg White","Reversed-Phase","Positive",168.1136,33,"M168T33","x","x","x","Unknown"
"Egg White","Reversed-Phase","Negative",344.7313,27,"M345T27","x","x","x","Hepaethyleneglycol [M+NH4]"
"Egg White","Normal-Phase","Positive",73.6954,"5.24","M74T344","x","x","NA","Unknown"
"Egg White","Normal-Phase","Positive",87.0643,"1.67","M87T130","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",123.0923,"0.47","M123T58","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",126.0668,"3.44","M126T236","x","x","NA","Unknown"
"Egg White","Normal-Phase","Positive",135.0969,"2.24","M135T164","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",144.9826,"2.63","M145T188","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",146.0605,"1.67","M146T130","x","x","x","Quinolin-2-ol"
"Egg White","Normal-Phase","Positive",164.1074,"7.24","M164T464","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",185.0926,"1.47","M185T118","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",187.1083,"1.94","M187T146","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",200.1036,"2.3","M200T168","x","x","NA","Unknown"
"Egg White","Normal-Phase","Positive",289.1950,"7.13","M289T458","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",369.4295,"1.56","M369T123","x","x","x","Unknown"
"Egg White","Normal-Phase","Positive",521.3287,"1.03","M521T92","x","x","x","SM 30:4;O2 Artefakt (- Cholin) [M+H-H2O]+]"
"Egg White","Normal-Phase","Positive",623.4543,"1.07","M623T94","x","x","x","SM 30:4;O2 [M+H-H2O]+]"
"Egg White","Normal-Phase","Negative",259.0129,"7.95","M259T507","x","x","x","Unknown"
"Egg Yolk","Reversed-Phase","Positive",193.1548,"0,55","M193T30","NA","NA","NA","Unknown"
"Egg Yolk","Reversed-Phase","Positive",226.0434,"4,23","M226T254","x","x","x","Unknown"
"Egg Yolk","Reversed-Phase","Positive",256.813,"0,42","M257T25","NA","NA","NA","Unknown"
"Egg Yolk","Reversed-Phase","Positive",399.3302,"7,55","M399T453","x","x","x","1,25-Dihydroxycholesterol"
"Egg Yolk","Reversed-Phase","Positive",418.2872,"9,05","M418T543","x","x","x","N-Arachidonoyl-Isoleucine"
"Egg Yolk","Reversed-Phase","Positive",445.4005,"9,10","M445T546","x","x","x","Schleichol 1"
"Egg Yolk","Reversed-Phase","Positive",620.5987,"10,23","M621T614","x","x","x","PC 25:1e"
"Egg Yolk","Reversed-Phase","Negative",705.5775,"10,18","M706T611","NA","NA","NA","Unknown"
"Egg Yolk","Normal-Phase","Positive",84.5085,"5,35","M85T321","x","x","NA","Unknown"
"Egg Yolk","Normal-Phase","Positive",290.1971,"7,73","M290T464","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Positive",303.2098,"7,57","M303T454","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Positive",314.2324,"6,07","M314T364","x","x","x"," CIS-4-DECENOYL CARNITINE (CAR 10:1)"
"Egg Yolk","Normal-Phase","Positive",330.064,"2,02","M330T121","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Positive",362.0901,"2,02","M362T121","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Positive",370.2951,"5,68","M370T341","x","x","x","N-Oleoyl-L-Serine"
"Egg Yolk","Normal-Phase","Positive",372.3107,"5,68","M372T341","x","x","x","Tetradecanoyl-L-Carnitine"
"Egg Yolk","Normal-Phase","Positive",399.3298,"5,60","M399T336","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Positive",426.3211,"4,00","M426T240","NA","NA","NA","Unknown"
"Egg Yolk","Normal-Phase","Positive",471.3791,"1,68","M471T101","x","x","x","Unknown"
"Egg Yolk","Normal-Phase","Negative",241.119,"6,68","M241T401","x","x","NA","Glu-Leu [M-H2O]"
